PerfID,EmpID,Rating,PerfDate
1,1,1,2015-12-31
2,2,2,2015-12-31
3,3,2,2015-12-31
4,4,4,2015-12-31
5,5,2,2015-12-31
6,6,5,2015-12-31
7,7,3,2015-12-31
8,8,4,2015-12-31
9,10,4,2015-12-31
10,11,3,2015-12-31
11,12,4,2015-12-31
12,13,3,2015-12-31
13,14,4,2015-12-31
14,16,3,2015-12-31
15,17,3,2015-12-31
16,18,4,2015-12-31
17,19,1,2015-12-31
18,20,3,2015-12-31
19,21,1,2015-12-31
20,23,4,2015-12-31
21,24,3,2015-12-31
22,25,2,2015-12-31
23,26,3,2015-12-31
24,27,3,2015-12-31
25,28,3,2015-12-31
26,29,2,2015-12-31
27,30,4,2015-12-31
28,31,4,2015-12-31
29,32,4,2015-12-31
30,33,2,2015-12-31
31,34,1,2015-12-31
32,35,3,2015-12-31
33,36,2,2015-12-31
34,39,3,2015-12-31
35,42,1,2015-12-31
36,43,1,2015-12-31
37,44,5,2015-12-31
38,45,1,2015-12-31
39,46,4,2015-12-31
40,47,4,2015-12-31
41,49,4,2015-12-31
42,51,4,2015-12-31
43,52,1,2015-12-31
44,53,3,2015-12-31
45,54,3,2015-12-31
46,55,5,2015-12-31
47,56,1,2015-12-31
48,57,3,2015-12-31
49,58,4,2015-12-31
50,59,3,2015-12-31
51,60,4,2015-12-31
52,61,3,2015-12-31
53,62,2,2015-12-31
54,63,5,2015-12-31
55,64,4,2015-12-31
56,65,3,2015-12-31
57,67,1,2015-12-31
58,69,3,2015-12-31
59,71,3,2015-12-31
60,72,3,2015-12-31
61,73,3,2015-12-31
62,74,4,2015-12-31
63,75,2,2015-12-31
64,76,3,2015-12-31
65,77,3,2015-12-31
66,78,3,2015-12-31
67,79,1,2015-12-31
68,80,5,2015-12-31
69,81,3,2015-12-31
70,82,2,2015-12-31
71,83,3,2015-12-31
72,84,4,2015-12-31
73,85,3,2015-12-31
74,87,2,2015-12-31
75,88,1,2015-12-31
76,89,3,2015-12-31
77,90,4,2015-12-31
78,91,3,2015-12-31
79,92,3,2015-12-31
80,93,3,2015-12-31
81,94,3,2015-12-31
82,95,2,2015-12-31
83,96,2,2015-12-31
84,97,3,2015-12-31
85,98,3,2015-12-31
86,99,3,2015-12-31
87,100,5,2015-12-31
88,102,3,2015-12-31
89,103,4,2015-12-31
90,104,3,2015-12-31
91,105,4,2015-12-31
92,106,3,2015-12-31
93,107,5,2015-12-31
94,108,3,2015-12-31
95,109,1,2015-12-31
96,110,1,2015-12-31
97,111,3,2015-12-31
98,112,4,2015-12-31
