ActID,ActionID,EmpID,EffectiveDt
1,10,1,2015-01-01
2,10,2,2015-01-01
3,10,3,2015-10-06
4,10,4,2015-01-01
5,10,5,2015-05-22
6,10,6,2015-07-11
7,10,7,2015-12-04
8,10,8,2015-01-01
9,10,9,2015-01-01
10,10,10,2015-05-09
11,10,11,2015-05-11
12,10,12,2015-12-24
13,10,13,2015-01-01
14,10,14,2015-07-26
15,10,15,2016-03-13
16,10,16,2015-01-01
17,10,17,2015-10-08
18,10,18,2015-03-21
19,10,19,2015-01-01
20,10,20,2015-01-01
21,10,21,2015-09-29
22,10,22,2016-05-03
23,10,23,2015-01-01
24,10,24,2015-02-05
25,10,25,2015-12-19
26,10,26,2015-01-01
27,10,27,2015-09-04
28,10,28,2015-09-27
29,10,29,2015-04-21
30,10,30,2015-02-02
31,10,31,2015-01-01
32,10,32,2015-03-27
33,10,33,2015-10-17
34,10,34,2015-01-01
35,10,35,2015-01-01
36,10,36,2015-06-04
37,10,37,2017-05-09
38,10,38,2016-01-01
39,10,39,2015-01-01
40,10,40,2015-05-11
41,10,41,2016-03-21
42,10,42,2015-01-01
43,10,43,2015-07-21
44,10,44,2015-01-01
45,10,45,2015-01-01
46,10,46,2015-01-01
47,10,47,2015-01-01
48,10,48,2016-06-21
49,10,49,2015-01-01
50,10,50,2016-07-10
51,10,51,2015-05-03
52,10,52,2015-02-21
53,10,53,2015-01-01
54,10,54,2015-01-01
55,10,55,2015-01-01
56,10,56,2015-07-24
57,10,57,2015-02-08
58,10,58,2015-01-01
59,10,59,2015-01-15
60,10,60,2015-01-01
61,10,61,2015-09-06
62,10,62,2015-01-01
63,10,63,2015-01-01
64,10,64,2015-01-01
65,10,65,2015-03-27
66,10,66,2016-08-08
67,10,67,2015-04-14
68,10,68,2016-05-31
69,10,69,2015-08-03
70,10,70,2016-02-21
71,10,71,2015-09-09
72,10,72,2015-09-13
73,10,73,2015-10-26
74,10,74,2015-10-14
75,10,75,2015-01-01
76,10,76,2015-01-01
77,10,77,2015-01-01
78,10,78,2015-01-01
79,10,79,2015-01-12
80,10,80,2015-01-20
81,10,81,2015-01-01
82,10,82,2015-01-01
83,10,83,2015-01-01
84,10,84,2015-09-14
85,10,85,2015-01-01
86,10,86,2016-12-05
87,10,87,2015-04-09
88,10,88,2015-10-05
89,10,89,2015-05-13
90,10,90,2015-01-01
91,10,91,2015-06-11
92,10,92,2015-01-01
93,10,93,2015-01-01
94,10,94,2015-01-01
95,10,95,2015-01-01
96,10,96,2015-10-04
97,10,97,2015-10-23
98,10,98,2015-05-03
99,10,99,2015-01-01
100,10,100,2015-01-01
101,10,101,2016-01-03
102,10,102,2015-10-29
103,10,103,2015-11-12
104,10,104,2015-09-25
105,10,105,2015-01-01
106,10,106,2015-01-01
107,10,107,2015-01-01
108,10,108,2015-01-25
109,10,109,2015-01-01
110,10,110,2015-01-01
111,10,111,2015-01-01
112,10,112,2015-01-01
113,10,113,2015-10-16
114,10,114,2015-01-01
115,10,115,2015-05-09
116,10,116,2016-01-18
117,10,117,2015-02-15
118,10,118,2015-01-01
119,10,119,2015-01-01
120,10,120,2015-08-14
121,10,121,2015-01-01
122,10,122,2015-01-01
123,10,123,2015-01-01
124,10,124,2015-01-01
125,10,125,2015-01-01
126,10,126,2015-05-06
127,10,127,2016-03-10
128,10,128,2015-01-01
129,10,129,2015-01-01
130,10,130,2015-01-01
131,10,131,2015-01-01
132,10,132,2015-01-01
133,10,133,2015-01-01
134,10,134,2015-04-12
135,10,135,2015-01-01
136,10,136,2015-06-08
137,10,137,2015-10-02
138,10,138,2015-01-01
139,10,139,2015-01-01
140,10,140,2015-02-05
141,10,141,2015-01-01
142,10,142,2015-01-13
143,10,143,2015-07-13
144,10,144,2015-01-01
145,10,145,2015-03-05
146,10,146,2015-01-01
147,10,147,2015-01-01
148,10,148,2015-12-25
149,10,149,2015-01-01
150,10,150,2015-04-03
151,10,151,2015-01-01
152,10,152,2015-03-12
153,10,153,2015-01-01
154,10,154,2016-12-21
155,10,155,2015-01-01
156,10,156,2015-01-01
157,10,157,2015-01-01
158,10,158,2015-01-01
159,10,159,2016-02-13
160,10,160,2015-01-20
161,10,161,2015-01-01
162,10,162,2015-06-16
163,10,163,2015-01-01
164,10,164,2015-01-01
165,10,165,2015-01-01
166,10,166,2015-01-01
167,10,167,2015-01-01
168,10,168,2015-01-01
169,10,169,2016-01-15
170,10,170,2015-06-22
171,10,171,2016-03-30
172,10,172,2015-01-01
173,10,173,2015-10-27
174,10,174,2015-01-01
175,10,175,2015-01-01
176,10,176,2015-05-11
177,10,177,2015-08-27
178,10,178,2015-01-01
179,10,179,2015-01-01
180,10,180,2015-07-23
181,10,181,2015-01-01
182,10,182,2015-09-02
183,10,183,2015-01-01
184,10,184,2015-01-01
185,10,185,2015-01-01
186,10,186,2015-04-14
187,10,187,2015-01-01
188,10,188,2015-01-01
189,10,189,2015-01-01
190,10,190,2015-01-01
191,10,191,2015-01-01
192,10,192,2015-08-12
193,10,193,2015-08-09
194,10,194,2015-01-01
195,10,195,2016-11-06
196,10,196,2016-01-26
197,10,197,2015-02-16
198,10,198,2016-04-28
199,10,199,2015-01-01
200,10,200,2015-01-01
201,10,201,2015-01-01
202,10,202,2015-09-19
203,10,203,2016-05-19
204,10,204,2015-01-01
205,10,205,2015-06-25
206,10,206,2015-01-01
207,10,207,2015-01-01
208,10,208,2015-10-26
209,10,209,2015-01-01
210,10,210,2015-01-01
211,10,211,2015-03-12
212,10,212,2015-01-01
213,10,213,2016-01-04
214,10,214,2015-10-20
215,10,215,2016-07-20
216,10,216,2016-07-20
217,10,217,2016-08-14
218,10,218,2015-01-01
219,10,219,2015-01-01
220,10,220,2015-12-27
221,10,221,2015-01-01
222,10,222,2015-09-04
223,10,223,2015-01-01
224,10,224,2015-12-14
225,10,225,2015-01-01
226,10,226,2015-01-01
227,10,227,2015-01-01
228,10,228,2015-03-04
229,10,229,2015-01-01
230,10,230,2015-01-01
231,10,231,2016-05-29
232,10,232,2015-07-24
233,10,233,2015-01-01
234,10,234,2015-08-17
235,10,235,2015-01-01
236,10,236,2016-05-19
237,10,237,2016-10-28
238,10,238,2016-10-24
239,10,239,2016-05-19
240,10,240,2015-12-26
241,10,241,2015-01-01
242,10,242,2015-08-25
243,10,243,2015-01-01
244,10,244,2015-01-01
245,10,245,2015-08-04
246,10,246,2015-07-31
247,10,247,2015-01-01
248,10,248,2015-01-01
249,10,249,2015-01-01
250,10,250,2015-02-19
251,10,251,2015-01-01
252,10,252,2015-01-01
253,10,253,2015-09-07
254,10,254,2016-04-19
255,10,255,2015-01-01
256,10,256,2015-11-30
257,10,257,2015-05-09
258,10,258,2015-01-01
259,10,259,2015-01-01
260,10,260,2015-01-01
261,10,261,2015-01-01
262,10,262,2015-09-25
263,10,263,2016-06-11
264,10,264,2015-01-01
265,10,265,2015-01-01
266,10,266,2015-03-31
267,10,267,2015-01-01
268,10,268,2015-01-01
269,10,269,2015-05-10
270,10,270,2015-02-28
271,10,271,2015-09-26
272,10,272,2015-10-01
273,10,273,2015-04-12
274,10,274,2015-01-01
275,10,275,2015-01-01
276,10,276,2015-06-19
277,10,277,2017-06-01
278,10,278,2015-02-06
279,10,279,2016-08-22
280,10,280,2016-02-07
281,10,281,2015-01-01
282,10,282,2016-02-01
283,10,283,2015-11-13
284,10,284,2017-03-16
285,10,285,2015-04-23
286,10,286,2016-08-12
287,10,287,2015-07-29
288,10,288,2015-07-11
289,10,289,2015-01-01
290,10,290,2015-01-01
291,10,291,2015-01-01
292,10,292,2015-06-02
293,10,293,2015-10-01
294,10,294,2015-01-01
295,10,295,2015-01-01
296,10,296,2015-01-26
297,10,297,2015-01-01
298,10,298,2015-01-01
299,10,299,2015-01-01
300,10,300,2016-09-10
301,10,301,2015-07-12
302,10,302,2015-01-01
303,10,303,2015-01-01
304,10,304,2015-04-02
305,10,305,2015-01-01
306,10,306,2015-11-05
307,10,307,2015-01-01
308,10,308,2015-01-01
309,10,309,2015-05-24
310,10,310,2015-01-01
311,10,311,2015-01-01
312,10,312,2015-01-01
313,10,313,2015-01-01
314,10,314,2015-01-01
315,10,315,2015-07-08
316,10,316,2015-01-01
317,10,317,2016-03-02
318,10,318,2016-03-06
319,10,319,2015-05-27
320,10,320,2015-01-01
321,10,321,2015-01-01
322,10,322,2015-01-01
323,10,323,2015-03-10
324,10,324,2015-01-01
325,10,325,2015-05-01
326,10,326,2015-01-01
327,10,327,2015-01-01
328,10,328,2015-09-29
329,10,329,2015-01-01
330,10,330,2017-06-03
331,10,331,2016-05-11
332,10,332,2015-01-01
333,10,333,2015-01-01
334,10,334,2015-01-01
335,10,335,2015-05-18
336,10,336,2015-01-01
337,10,337,2015-01-01
338,10,338,2015-01-01
339,10,339,2016-10-20
340,10,340,2015-01-01
341,10,341,2015-07-15
342,10,342,2016-01-20
343,10,343,2015-01-21
344,10,344,2015-01-01
345,10,345,2015-01-03
346,10,346,2015-01-01
347,10,347,2016-12-31
348,10,348,2015-07-07
349,10,349,2015-01-26
350,10,350,2015-07-17
351,10,351,2017-03-04
352,10,352,2015-01-01
353,10,353,2015-01-01
354,10,354,2015-01-01
355,10,355,2015-01-01
356,10,356,2015-01-01
